Household_Size,Appliance_Count,Average_Temperature,Working_Hours,Solar_Usage,Electricity_Tariff,Day_Type,Previous_Consumption,Energy_Consumption
6,24,-6.0,3,No,Low,Weekday,40.4,49.89
5,11,27.3,12,No,Medium,Weekday,24.59,31.61
3,7,27.8,6,Yes,High,Weekday,15.03,16.29
4,22,24.3,3,No,Low,Weekday,24.16,26.45
2,14,27.8,2,Yes,Medium,Weekend,21.55,24.21
3,11,31.7,8,No,Low,Weekend,20.51,25.59
5,21,15.1,10,No,Medium,Weekday,31.34,35.53
6,18,16.6,7,No,Medium,Weekday,29.18,29.6
1,7,-0.4,0,No,Medium,Weekend,14.98,23.82
5,16,11.4,6,Yes,Medium,Weekend,31.27,29.91
6,17,23.1,8,No,High,Weekend,28.32,29.44
4,12,29.3,7,Yes,Low,Weekday,21.17,24.04
5,19,4.1,7,Yes,Low,Weekday,23.46,26.82
1,9,0.5,12,Yes,High,Weekend,13.6,18.89
6,15,24.2,5,No,Medium,Weekday,32.88,34.94
6,12,-5.4,10,Yes,High,Weekday,32.86,35.85
6,16,2.6,3,Yes,Medium,Weekday,34.24,34.08
4,11,-4.1,7,Yes,High,Weekday,25.37,27.37
5,19,2.2,2,Yes,Medium,Weekday,31.35,31.75
4,21,2.9,12,No,Medium,Weekday,32.19,41.32
2,8,12.2,8,No,High,Weekday,16.83,15.71
2,14,12.9,12,No,Medium,Weekday,20.05,22.39
5,22,34.2,1,No,Low,Weekday,34.35,40.15
4,13,17.9,1,Yes,Low,Weekday,17.53,14.49
1,11,27.6,11,No,Low,Weekday,20.17,22.79
6,17,-0.2,12,No,Low,Weekday,35.71,47.89
6,14,5.3,11,Yes,Medium,Weekend,32.41,33.17
5,16,26.9,6,Yes,Medium,Weekday,26.9,24.71
2,6,-2.3,11,Yes,Medium,Weekday,17.21,25.38
2,7,17.2,9,Yes,Medium,Weekday,12.85,14.02
6,14,22.4,3,No,Medium,Weekend,25.99,28.91
5,11,22.6,9,No,Low,Weekday,19.56,21.59
4,17,-3.4,7,Yes,Low,Weekday,29.7,36.33
2,7,10.1,8,Yes,Low,Weekday,20.4,19.53
4,22,24.3,6,No,Medium,Weekday,25.64,27.84
2,7,2.4,4,Yes,Low,Weekend,15.08,20.64
2,11,27.1,7,No,Low,Weekend,14.06,19.01
3,18,29.4,3,No,Medium,Weekday,23.67,25.04
2,11,40.1,1,Yes,High,Weekday,31.18,32.41
1,11,5.4,10,Yes,Low,Weekday,20.52,24.78
5,25,33.2,11,No,Medium,Weekday,32.19,37.92
5,16,19.5,5,No,Medium,Weekday,24.28,26.18
4,20,13.0,8,No,Medium,Weekday,29.38,30.62
2,14,1.7,0,No,High,Weekday,24.23,25.97
1,7,29.4,10,Yes,Low,Weekday,18.6,24.57
4,14,6.9,9,No,Low,Weekend,27.85,35.77
3,11,13.1,11,No,High,Weekday,17.47,18.91
4,24,-0.7,6,Yes,Medium,Weekend,36.78,42.15
4,10,32.6,9,No,Medium,Weekday,19.79,23.36
2,5,31.1,8,Yes,Medium,Weekday,10.11,13.42
3,21,29.6,9,No,Medium,Weekend,25.49,32.0
4,12,10.2,8,Yes,High,Weekday,20.53,19.93
1,9,4.6,9,No,High,Weekday,21.98,27.29
1,11,25.5,10,No,Medium,Weekday,19.94,24.29
5,22,19.2,12,No,Low,Weekend,31.62,38.59
3,8,5.0,2,Yes,High,Weekday,15.77,16.88
3,22,27.9,10,No,Low,Weekday,31.09,36.99
5,13,41.6,12,No,Low,Weekend,26.33,38.19
4,20,30.7,4,No,High,Weekday,29.62,28.83
3,5,30.5,7,No,Low,Weekday,13.24,15.14
1,5,40.0,7,No,Low,Weekend,30.06,42.78
1,10,6.4,3,No,Low,Weekend,19.47,27.22
2,6,22.8,11,No,High,Weekend,21.55,27.0
3,13,41.5,10,No,Medium,Weekend,19.47,29.71
4,19,4.9,10,No,Medium,Weekday,31.82,39.28
5,21,29.0,0,No,Low,Weekend,29.09,35.54
5,12,23.9,0,No,Medium,Weekday,19.86,18.73
4,16,24.0,3,No,Medium,Weekday,25.93,25.47
6,13,29.1,5,No,Medium,Weekday,25.76,26.73
2,9,39.5,7,Yes,Medium,Weekday,19.7,23.05
5,15,33.0,5,No,Low,Weekend,29.81,36.56
3,10,0.3,11,No,High,Weekend,21.19,29.71
2,11,36.2,8,No,Medium,Weekday,19.01,26.08
3,18,8.1,8,No,High,Weekday,22.91,25.3
1,15,14.9,1,No,Medium,Weekday,15.54,16.3
2,10,18.8,9,No,Medium,Weekend,22.65,26.79
5,15,19.7,0,No,Medium,Weekday,17.54,16.62
2,11,17.7,1,No,Medium,Weekday,11.69,12.42
2,11,40.3,4,No,High,Weekday,33.38,36.3
2,8,30.0,3,No,Medium,Weekday,14.56,17.34
6,12,26.7,3,No,Low,Weekday,27.15,31.36
2,9,0.6,8,Yes,Medium,Weekend,29.07,35.36
3,25,39.0,10,Yes,Medium,Weekday,32.77,36.42
1,11,39.3,7,No,Medium,Weekday,26.19,31.04
4,17,33.6,5,Yes,Low,Weekday,24.99,29.15
2,6,-1.2,0,No,Medium,Weekday,26.47,32.63
5,14,1.1,1,No,Medium,Weekend,27.43,37.72
2,15,8.7,5,No,Medium,Weekday,20.77,23.07
5,10,4.5,10,No,Medium,Weekday,24.97,32.29
3,13,16.6,1,Yes,Medium,Weekday,18.52,18.36
5,21,40.2,12,No,Low,Weekday,38.07,46.95
4,19,20.0,9,No,Medium,Weekday,13.86,19.87
1,10,-0.6,4,No,Low,Weekend,17.3,28.29
5,17,11.6,4,Yes,Low,Weekday,22.07,23.66
5,10,0.9,5,No,Medium,Weekday,26.24,34.84
1,6,0.5,5,Yes,High,Weekday,27.45,29.46
4,21,11.4,5,Yes,Medium,Weekday,28.61,24.98
2,13,11.4,1,Yes,Medium,Weekday,18.28,16.43
5,19,34.5,9,Yes,High,Weekday,22.54,23.57
1,10,42.9,12,No,High,Weekend,27.55,36.18
3,21,15.8,2,Yes,Low,Weekend,27.14,27.95
1,14,18.4,5,No,High,Weekday,13.48,11.31
3,7,37.2,12,No,Medium,Weekday,16.86,22.86
4,22,11.3,7,No,Medium,Weekday,33.74,38.99
2,5,6.3,11,Yes,Low,Weekday,24.77,27.65
1,14,37.7,12,No,Medium,Weekend,21.92,32.14
6,12,1.4,10,No,Low,Weekday,23.84,34.75
5,16,27.2,11,No,Low,Weekday,20.04,23.99
4,10,24.7,0,Yes,Medium,Weekend,20.54,19.09
1,12,15.0,0,No,High,Weekend,18.56,17.82
5,19,13.6,10,No,High,Weekday,28.93,28.84
1,13,34.2,12,No,Medium,Weekday,13.87,20.76
3,8,3.4,1,Yes,High,Weekday,19.64,19.94
1,8,10.2,10,No,High,Weekday,20.6,26.42
6,12,32.5,11,Yes,Medium,Weekend,26.41,30.02
1,6,24.2,11,Yes,Low,Weekend,6.06,8.5
1,15,5.4,5,No,Medium,Weekend,21.14,30.83
6,13,39.3,8,Yes,High,Weekday,29.2,29.11
4,10,17.3,3,Yes,Medium,Weekend,16.3,13.9
1,13,36.9,2,Yes,Medium,Weekday,15.92,15.48
6,18,35.1,11,No,Medium,Weekday,24.41,29.72
5,19,27.8,7,No,Medium,Weekday,20.06,19.78
3,16,22.0,10,No,Medium,Weekday,20.62,26.76
3,14,43.8,9,No,Low,Weekend,22.02,34.89
1,13,6.3,8,Yes,Medium,Weekday,20.44,23.99
4,19,32.4,11,No,High,Weekday,25.69,26.96
4,12,8.4,10,No,High,Weekday,25.04,27.83
5,15,15.0,4,Yes,Low,Weekday,22.58,18.58
1,15,13.7,8,No,High,Weekday,17.52,16.12
3,6,42.5,1,No,Medium,Weekday,16.61,24.81
4,19,43.4,2,Yes,Medium,Weekend,32.0,38.77
1,10,8.1,6,Yes,Medium,Weekday,8.37,11.43
4,12,0.9,6,Yes,High,Weekday,29.08,31.98
6,15,32.3,5,Yes,High,Weekday,22.6,20.17
4,20,18.7,5,No,Medium,Weekend,28.67,33.97
3,22,3.9,1,No,High,Weekday,32.11,32.56
2,10,30.7,9,No,Low,Weekday,17.28,18.44
5,18,24.5,5,No,Medium,Weekday,20.24,23.51
5,20,44.1,3,Yes,Medium,Weekday,32.58,31.27
3,17,10.2,11,No,Medium,Weekday,22.32,27.78
4,10,18.2,2,No,Low,Weekend,18.55,21.38
1,10,24.4,12,No,High,Weekday,12.36,14.03
4,21,35.6,10,No,Low,Weekday,28.73,35.89
3,22,24.7,12,No,Low,Weekend,24.61,30.89
5,12,27.6,1,No,Medium,Weekday,21.49,22.38
4,17,10.2,0,No,Medium,Weekday,28.13,30.75
5,23,38.1,10,Yes,High,Weekday,34.36,35.16
1,7,19.3,10,Yes,Medium,Weekday,9.16,8.71
5,12,6.3,4,Yes,Low,Weekday,22.85,26.14
5,14,29.9,1,No,High,Weekday,16.18,15.51
2,12,9.7,1,No,Medium,Weekend,20.47,25.07
2,10,4.4,6,No,Low,Weekend,26.39,35.45
6,17,38.8,7,No,Medium,Weekday,29.06,36.56
2,5,20.7,12,No,Medium,Weekday,8.66,12.77
5,10,33.7,9,No,Medium,Weekday,25.26,27.55
3,23,13.1,7,Yes,Medium,Weekend,28.04,30.36
5,20,35.4,3,Yes,High,Weekday,31.4,29.17
3,12,5.0,0,No,High,Weekday,25.97,28.3
3,5,16.0,10,No,Medium,Weekend,13.47,17.81
2,12,44.0,6,No,Low,Weekday,25.69,36.73
4,13,35.7,0,Yes,High,Weekend,23.3,20.64
1,9,22.3,10,Yes,Medium,Weekday,20.59,23.09
2,15,15.2,3,No,Medium,Weekend,20.81,25.25
2,6,39.2,7,Yes,Medium,Weekend,22.91,26.18
4,25,24.4,1,Yes,High,Weekday,29.1,21.12
1,14,34.0,5,No,Medium,Weekday,17.52,19.88
5,11,33.8,12,Yes,Low,Weekday,22.9,23.03
6,10,0.7,5,No,Medium,Weekend,28.11,39.91
6,11,5.5,11,Yes,High,Weekday,30.97,29.87
5,19,29.5,8,Yes,Low,Weekday,20.8,21.56
2,15,7.1,4,No,High,Weekday,22.37,23.26
1,9,11.3,9,No,Medium,Weekday,18.38,24.22
2,7,42.4,3,No,Medium,Weekday,27.88,34.93
3,14,25.0,4,No,Low,Weekday,16.7,17.68
2,14,33.5,11,Yes,Low,Weekday,16.68,20.36
2,15,24.8,11,No,High,Weekend,17.79,21.21
5,25,24.6,9,Yes,Low,Weekday,31.83,33.57
5,11,3.9,10,No,Medium,Weekday,24.93,31.76
5,22,15.1,4,No,Medium,Weekend,37.31,42.01
6,19,12.3,7,No,Low,Weekday,22.84,26.27
3,6,17.2,9,No,Low,Weekend,16.71,21.98
5,18,35.5,11,Yes,Medium,Weekday,27.22,29.61
1,7,16.3,7,Yes,High,Weekday,19.49,15.74
6,16,19.9,1,No,Medium,Weekday,28.7,28.45
4,11,17.4,6,No,Medium,Weekday,19.68,22.93
1,6,3.7,7,No,Medium,Weekday,13.93,23.46
1,12,19.3,10,Yes,Medium,Weekday,17.77,18.84
5,18,8.2,5,No,Medium,Weekend,30.13,37.53
4,21,7.8,4,Yes,High,Weekday,30.06,26.69
4,13,3.6,10,No,Medium,Weekday,23.48,32.69
6,21,15.4,8,No,Medium,Weekday,35.1,37.84
4,12,33.4,12,No,Low,Weekend,19.82,25.55
3,6,11.7,2,Yes,High,Weekday,16.08,14.8
5,17,13.3,11,No,Low,Weekday,30.57,34.58
4,16,28.1,12,No,Low,Weekday,17.19,19.52
6,20,8.0,12,No,Medium,Weekday,34.41,38.6
3,10,39.5,9,No,Medium,Weekday,21.93,28.45
2,5,22.5,3,No,Medium,Weekend,23.06,24.74
2,11,19.2,8,No,Medium,Weekday,12.59,11.5
3,14,24.1,5,No,Medium,Weekend,18.16,20.94
6,13,6.5,7,Yes,Low,Weekday,31.83,33.78
3,6,26.6,6,Yes,High,Weekday,11.73,10.37
5,19,15.2,10,No,Medium,Weekend,32.05,37.31
5,14,39.2,1,Yes,Medium,Weekday,22.77,26.55
2,8,6.4,2,No,Medium,Weekend,15.35,21.96
4,24,21.6,0,No,Low,Weekday,27.76,28.4
6,18,25.7,8,No,Medium,Weekend,23.34,27.98
2,8,0.2,12,No,Medium,Weekday,29.54,42.01
4,10,15.0,6,No,Medium,Weekday,17.03,20.26
4,21,31.6,0,No,Medium,Weekday,28.4,27.49
5,16,35.5,2,Yes,High,Weekday,22.73,18.95
1,12,12.6,3,No,Medium,Weekday,24.13,24.31
1,14,34.4,3,Yes,High,Weekday,16.64,15.1
3,5,42.0,4,No,Medium,Weekday,12.25,17.98
5,22,37.0,2,No,Low,Weekday,31.25,36.89
4,22,3.6,2,No,Low,Weekend,32.67,44.13
6,18,31.6,0,Yes,Medium,Weekday,29.26,27.54
1,9,12.6,6,No,Low,Weekday,22.47,25.21
4,16,42.7,10,No,Low,Weekday,29.48,37.29
1,8,20.0,9,Yes,High,Weekday,10.57,9.07
1,7,3.6,0,Yes,High,Weekday,8.74,10.52
1,6,30.7,1,Yes,Medium,Weekday,22.94,18.98
6,16,12.5,12,No,Low,Weekend,29.54,39.51
5,11,42.8,3,Yes,Low,Weekend,25.35,30.43
6,15,42.0,12,No,Low,Weekday,31.9,43.66
2,5,27.4,3,No,Medium,Weekday,8.11,6.49
4,10,3.6,4,No,High,Weekday,24.18,28.53
5,19,28.7,10,Yes,Medium,Weekday,31.01,29.51
5,19,1.9,1,No,Low,Weekday,35.3,45.04
5,23,-1.0,3,No,Medium,Weekday,37.73,43.77
5,15,34.6,0,No,Medium,Weekday,32.11,34.08
6,10,7.0,1,No,Medium,Weekday,26.75,29.27
5,18,14.5,0,No,Medium,Weekday,29.08,28.85
3,6,41.2,9,No,Medium,Weekend,16.98,26.38
4,12,12.5,9,No,Low,Weekday,22.03,25.34
5,21,10.7,12,No,Low,Weekend,34.81,43.95
4,18,38.6,3,Yes,High,Weekend,17.67,17.34
3,17,2.2,3,Yes,Low,Weekday,29.28,33.75
3,13,31.3,6,Yes,Low,Weekday,20.35,26.08
4,11,41.6,9,No,Low,Weekday,22.92,33.0
1,5,37.6,10,No,Low,Weekend,18.41,26.69
2,15,26.3,10,No,Medium,Weekend,17.76,20.98
1,8,11.0,8,No,High,Weekday,24.94,26.2
1,6,8.3,8,No,Medium,Weekday,14.54,19.3
6,19,33.7,4,No,Medium,Weekend,35.67,42.76
1,12,36.3,9,No,Medium,Weekday,20.11,27.78
5,24,20.3,0,No,Medium,Weekend,32.89,33.08
6,15,7.6,0,Yes,High,Weekend,32.85,31.06
6,17,1.6,5,Yes,High,Weekday,26.75,26.88
3,21,0.4,1,Yes,Low,Weekday,29.45,30.85
1,14,28.8,7,No,Medium,Weekday,16.44,17.33
3,25,15.3,12,No,Medium,Weekday,30.1,33.88
4,19,37.1,8,No,High,Weekday,30.75,36.48
2,12,29.5,12,Yes,Medium,Weekend,22.9,26.33
6,19,4.8,3,No,High,Weekend,21.88,24.7
4,24,23.8,4,No,Medium,Weekend,27.4,31.63
4,10,15.7,10,Yes,Low,Weekday,20.86,24.51
5,23,22.0,7,No,Medium,Weekend,26.93,32.37
2,9,29.2,2,Yes,High,Weekend,17.03,17.17
4,17,32.2,4,No,High,Weekday,21.06,24.5
4,13,33.8,2,No,Low,Weekday,17.97,23.36
2,10,7.2,11,Yes,Medium,Weekday,18.27,19.44
2,12,-2.9,9,Yes,Medium,Weekend,28.34,33.81
4,18,28.9,2,No,Low,Weekday,17.05,18.43
2,7,0.4,2,No,Medium,Weekend,13.92,19.36
4,21,9.7,12,No,Low,Weekday,31.98,38.58
4,16,-4.4,11,No,High,Weekend,33.06,44.97
5,22,26.1,6,No,Medium,Weekday,29.39,31.72
1,11,2.9,6,No,High,Weekday,20.12,21.74
4,16,24.8,6,No,Low,Weekday,23.87,29.54
3,20,39.8,9,No,Medium,Weekday,28.14,36.07
6,12,-1.6,7,No,Low,Weekend,31.41,44.99
1,6,-1.5,4,No,Low,Weekday,25.78,34.11
1,13,10.3,4,No,Low,Weekday,17.71,20.11
1,12,33.9,3,No,Low,Weekday,29.86,36.7
5,12,4.6,6,Yes,Medium,Weekday,25.88,25.4
4,19,11.0,9,No,Low,Weekday,28.86,34.96
5,18,-2.2,3,No,Medium,Weekday,34.71,39.2
4,22,29.0,1,Yes,Medium,Weekend,31.87,30.76
5,24,13.0,3,No,High,Weekday,33.81,33.27
5,11,28.7,12,No,High,Weekend,24.64,30.79
6,14,35.2,12,Yes,Medium,Weekend,25.88,36.26
3,16,4.9,7,No,Medium,Weekday,23.4,27.87
5,25,30.7,8,Yes,Low,Weekday,32.38,36.63
6,12,-3.0,2,Yes,High,Weekday,24.86,22.63
2,11,34.7,6,No,Low,Weekend,28.63,36.78
3,18,23.5,11,No,Low,Weekend,21.61,29.49
5,19,33.5,8,Yes,Low,Weekday,30.43,30.91
1,6,-5.9,10,No,Medium,Weekend,28.0,41.0
2,11,1.6,3,No,Low,Weekday,20.74,28.12
2,7,11.5,9,Yes,Medium,Weekend,23.53,25.81
6,16,11.0,2,Yes,Low,Weekend,31.52,32.14
2,13,4.0,4,No,Medium,Weekday,27.8,30.72
3,8,10.9,0,Yes,Low,Weekday,16.47,15.13
5,13,-0.5,2,No,Low,Weekday,29.54,37.08
5,10,12.2,7,No,High,Weekday,21.59,20.54
1,8,29.7,10,No,Low,Weekend,20.46,29.53
6,25,15.1,7,Yes,High,Weekday,38.48,32.58
1,8,-5.7,12,No,Medium,Weekday,30.99,41.35
2,6,12.4,3,No,Low,Weekday,7.1,8.46
1,12,-5.4,1,No,High,Weekend,17.9,25.81
3,15,36.8,12,Yes,Low,Weekday,23.48,30.95
5,17,-1.0,7,Yes,High,Weekday,30.64,31.03
2,7,25.0,7,No,Low,Weekday,25.58,28.18
1,12,36.9,9,No,High,Weekend,17.77,25.19
6,25,30.2,3,Yes,Low,Weekend,35.87,38.9
3,22,24.5,2,No,Medium,Weekday,26.27,26.1
3,22,30.7,1,Yes,Medium,Weekday,30.02,26.23
1,9,37.1,8,No,High,Weekday,22.21,23.18
5,19,20.8,0,No,High,Weekday,27.3,26.36
1,10,17.9,6,No,High,Weekday,11.21,9.56
2,15,21.0,4,No,High,Weekend,21.22,24.77
1,7,16.6,7,No,Low,Weekday,17.33,21.41
3,5,21.2,3,No,Low,Weekend,15.18,17.75
1,10,12.8,6,No,Low,Weekday,10.77,14.03
5,13,2.3,12,No,Medium,Weekday,27.43,34.25
6,12,-2.1,4,No,Medium,Weekend,30.42,37.8
4,15,-4.5,4,Yes,Medium,Weekday,28.81,31.63
1,13,4.2,8,Yes,Low,Weekday,25.73,25.66
5,13,-5.6,8,No,Medium,Weekday,27.94,37.78
5,21,17.7,12,No,Low,Weekday,30.75,34.81
6,16,4.9,8,No,Medium,Weekday,28.21,31.58
3,18,29.2,11,Yes,Medium,Weekday,22.86,25.36
5,19,-4.6,5,No,Medium,Weekend,38.47,49.83
5,20,2.2,5,No,Medium,Weekday,31.92,38.32
5,24,24.8,4,No,Medium,Weekend,35.52,41.05
5,12,18.9,8,No,Low,Weekday,20.48,25.73
2,14,-5.2,9,No,Medium,Weekend,18.2,29.49
2,12,31.3,7,No,Low,Weekday,21.2,30.28
3,22,31.3,6,No,Medium,Weekend,30.74,38.9
1,5,6.6,6,Yes,Medium,Weekday,12.82,13.81
5,11,7.0,5,No,Low,Weekday,17.84,20.14
6,14,36.1,4,No,Low,Weekday,27.75,31.66
1,5,19.8,12,No,High,Weekday,5.97,7.34
6,13,15.4,3,Yes,High,Weekday,27.84,22.65
1,10,29.2,2,No,Medium,Weekday,19.84,24.3
3,5,4.3,2,No,Low,Weekday,16.69,17.26
5,17,10.7,5,Yes,Low,Weekend,27.9,29.73
5,24,3.4,3,No,Medium,Weekday,31.91,35.04
4,11,26.8,11,No,High,Weekday,15.71,19.59
6,10,17.1,11,No,Low,Weekend,20.46,27.92
1,10,20.9,5,No,Medium,Weekday,11.37,13.76
1,11,2.5,2,Yes,Low,Weekday,16.19,16.94
2,10,1.1,3,No,High,Weekday,23.42,23.76
4,22,13.1,8,Yes,Medium,Weekend,32.54,34.88
2,14,24.3,4,No,Medium,Weekend,23.12,28.6
2,6,14.7,12,No,Medium,Weekend,9.32,11.78
2,14,-7.5,6,No,Medium,Weekday,23.93,32.83
6,16,30.0,9,Yes,Low,Weekend,31.17,35.78
6,21,-6.2,1,No,Low,Weekday,38.61,45.44
3,12,33.9,4,No,High,Weekday,20.07,23.49
3,15,-8.0,8,No,High,Weekday,26.64,33.38
2,7,22.1,10,No,High,Weekday,11.52,14.43
4,10,-5.5,2,No,Medium,Weekday,22.14,27.78
1,13,31.7,8,No,High,Weekday,21.65,25.73
6,10,11.6,10,No,Low,Weekday,22.06,25.41
4,13,-3.1,5,Yes,Medium,Weekday,26.06,29.63
5,11,6.0,3,Yes,Medium,Weekend,22.59,18.08
6,13,-2.0,6,No,Medium,Weekday,31.27,36.4
6,22,-1.7,7,No,Medium,Weekend,35.25,46.85
3,16,33.2,5,No,Low,Weekday,27.28,35.99
1,12,10.6,4,No,Medium,Weekend,17.66,22.53
1,12,26.0,5,Yes,High,Weekday,13.57,10.82
5,22,19.3,4,No,Medium,Weekday,33.67,33.01
5,24,20.9,7,Yes,Low,Weekday,32.57,32.36
6,19,-3.6,0,Yes,Low,Weekday,38.93,41.9
2,11,0.9,10,No,Low,Weekend,22.52,29.42
3,15,25.8,6,Yes,Low,Weekday,22.15,23.31
3,24,34.0,9,No,Medium,Weekday,29.26,38.04
6,20,2.2,9,Yes,Medium,Weekend,36.85,37.12
4,12,2.5,10,No,Medium,Weekday,20.68,25.85
2,10,11.6,1,No,Medium,Weekday,15.12,11.41
6,13,34.5,8,Yes,High,Weekday,25.7,28.12
2,13,2.4,0,No,Low,Weekday,17.5,18.33
2,14,8.5,10,No,Medium,Weekday,20.53,22.86
2,10,30.3,9,No,High,Weekday,24.57,29.84
6,15,-9.7,5,Yes,Low,Weekend,31.57,41.18
3,22,-8.0,8,No,Low,Weekday,33.44,44.11
3,16,17.3,0,No,High,Weekday,21.93,21.19
2,12,31.0,3,No,Medium,Weekday,21.9,24.58
4,17,0.9,3,No,Medium,Weekend,31.12,37.56
1,13,11.2,8,No,Low,Weekend,16.02,19.64
6,23,10.4,10,No,Medium,Weekday,34.48,38.86
1,10,11.4,4,No,Medium,Weekend,23.55,28.14
4,18,18.1,4,No,Low,Weekday,25.46,29.02
6,16,11.2,5,No,Medium,Weekday,19.79,23.76
2,9,10.2,0,No,Low,Weekday,20.43,23.14
3,12,11.4,0,No,Medium,Weekday,17.37,17.13
1,13,16.6,8,No,Low,Weekday,24.69,28.32
5,23,14.2,2,Yes,Low,Weekend,31.45,32.95
5,16,28.5,3,No,Low,Weekday,29.52,35.47
4,22,-7.8,0,No,Low,Weekend,32.34,44.64
2,10,27.5,8,No,High,Weekday,16.29,16.72
1,8,28.0,7,No,Low,Weekday,25.93,35.34
2,14,2.8,1,No,Medium,Weekday,25.5,26.98
1,9,10.8,7,No,Low,Weekday,10.89,11.1
4,13,9.7,6,Yes,Medium,Weekday,20.11,17.52
4,15,-0.2,10,No,High,Weekday,17.78,18.39
5,14,7.9,5,No,Low,Weekday,25.67,26.82
2,9,-8.0,0,No,High,Weekday,30.65,33.87
6,10,2.5,6,No,Low,Weekend,28.34,37.91
5,19,26.8,9,No,Medium,Weekday,30.31,36.33
2,5,2.8,6,No,Medium,Weekday,12.56,15.81
5,11,26.8,12,Yes,High,Weekday,22.35,21.39
6,16,13.9,8,Yes,Medium,Weekend,29.35,29.05
3,21,29.6,0,Yes,Medium,Weekday,29.47,27.77
3,25,15.9,1,No,Low,Weekday,30.74,31.52
3,24,-8.6,10,No,Low,Weekday,36.02,47.13
3,9,20.4,8,No,High,Weekday,17.02,17.46
1,8,-7.9,12,No,Medium,Weekend,14.85,25.92
3,16,10.3,8,No,Medium,Weekday,22.13,23.52
6,24,31.9,12,No,Medium,Weekday,39.03,47.56
4,22,-2.5,5,No,Medium,Weekday,34.78,39.59
4,21,7.6,5,No,High,Weekday,30.69,26.73
1,9,22.9,3,No,Medium,Weekend,22.66,27.02
3,13,29.8,3,No,Medium,Weekday,19.39,24.0
3,8,20.3,4,Yes,High,Weekday,18.12,12.5
3,25,1.8,2,No,Low,Weekday,32.68,35.72
5,14,20.5,0,Yes,Low,Weekend,18.27,19.31
2,8,3.5,0,No,Medium,Weekend,15.98,16.7
5,18,22.5,11,No,Low,Weekday,19.65,23.0
2,5,33.1,12,No,Medium,Weekday,28.22,36.51
3,6,22.7,6,Yes,High,Weekend,10.68,12.8
3,8,29.1,0,No,Medium,Weekday,17.25,23.5
5,10,-9.6,0,Yes,Medium,Weekday,31.17,34.94
5,11,22.6,2,No,High,Weekday,24.61,25.29
2,14,27.6,9,Yes,Medium,Weekend,23.44,28.42
4,23,-7.8,3,No,Medium,Weekday,32.91,39.37
2,9,29.6,3,No,Medium,Weekend,29.81,38.36
5,16,1.9,1,No,High,Weekday,31.36,30.12
6,16,20.3,0,Yes,Medium,Weekday,18.72,16.48
5,17,26.4,2,Yes,Medium,Weekday,28.81,26.08
6,22,20.3,10,No,High,Weekday,33.83,34.15
1,12,-5.4,3,No,Medium,Weekday,15.12,21.26
5,25,17.3,2,No,Medium,Weekday,32.5,33.45
1,10,15.3,7,Yes,High,Weekday,19.53,16.62
4,15,31.1,9,No,Medium,Weekend,17.87,26.15
2,7,8.8,0,Yes,Medium,Weekend,13.13,13.2
6,12,5.1,1,Yes,High,Weekday,28.26,21.16
2,8,24.4,12,No,Medium,Weekday,14.0,16.71
1,11,9.2,6,No,Medium,Weekday,19.02,18.01
6,14,19.8,3,Yes,High,Weekday,28.74,22.73
2,10,19.8,7,Yes,High,Weekend,15.85,14.9
5,18,30.7,10,Yes,Medium,Weekday,31.41,31.09
3,18,17.8,12,No,Low,Weekday,25.25,30.27
1,6,13.4,2,No,Medium,Weekend,7.13,8.3
2,9,-2.9,5,Yes,Medium,Weekday,16.37,19.04
1,9,-3.9,8,Yes,Medium,Weekday,17.09,22.19
1,10,-2.1,0,No,Medium,Weekday,16.24,22.24
6,17,-1.3,0,No,Medium,Weekday,35.27,40.83
6,13,19.7,7,No,Medium,Weekday,26.59,28.91
3,19,24.4,2,Yes,Low,Weekend,20.43,22.24
5,18,15.0,4,Yes,Medium,Weekend,29.6,29.56
1,11,28.5,0,No,Medium,Weekday,19.13,22.52
2,9,35.8,4,No,Low,Weekend,32.65,44.19
4,19,28.1,10,Yes,Low,Weekday,11.29,16.18
1,11,22.5,5,No,Medium,Weekend,14.08,15.14
1,10,15.3,7,Yes,Medium,Weekday,9.88,10.62
3,21,11.6,12,No,Low,Weekend,23.57,31.42
5,14,-4.8,2,No,High,Weekend,23.91,29.38
4,18,9.4,2,Yes,Medium,Weekday,17.41,15.26
6,17,32.4,11,No,High,Weekend,28.0,34.02
6,19,27.9,10,No,Medium,Weekend,25.72,31.96
2,5,1.3,10,No,Medium,Weekend,11.34,18.43
4,12,12.6,9,No,High,Weekday,19.65,19.29
6,16,28.4,8,Yes,Medium,Weekend,29.85,30.79
2,8,-5.3,3,No,Medium,Weekend,14.56,21.23
5,17,9.2,3,Yes,Low,Weekday,25.63,22.52
2,8,30.1,11,No,Medium,Weekend,23.78,33.95
6,15,10.0,6,No,Low,Weekday,31.89,35.55
3,14,-4.6,1,No,Low,Weekday,24.08,30.03
3,7,16.4,7,Yes,Low,Weekday,11.76,11.8
3,18,30.8,5,No,Low,Weekday,23.67,31.83
6,20,18.6,2,No,High,Weekday,31.53,30.38
3,14,2.3,8,No,Low,Weekday,25.5,29.91
4,14,9.5,4,Yes,Medium,Weekend,27.52,29.09
5,16,12.5,7,Yes,High,Weekday,27.29,22.45
2,13,18.3,6,No,Medium,Weekday,16.0,19.0
2,5,26.5,7,No,Low,Weekday,10.66,14.72
6,13,-3.2,6,Yes,Medium,Weekday,27.61,32.32
