Household_Size,Appliance_Count,Average_Temperature,Working_Hours,Solar_Usage,Electricity_Tariff,Day_Type,Previous_Consumption,Energy_Consumption,High_Usage,Efficiency_Category
2,19,28.18,0,0.89,4.49,Weekend,345.03,311.7,0,Low
6,13,32.98,0,0.01,9.07,Weekday,157.67,357.22,0,Low
2,8,37.26,4,0.32,9.69,Weekend,176.24,214.67,0,Low
3,18,16.99,8,0.55,4.66,Weekend,419.21,383.71,0,Low
2,9,33.29,5,0.15,9.18,Weekday,312.94,327.61,0,Low
2,6,19.69,2,0.09,3.68,Weekend,278.84,266.15,0,Low
2,15,36.45,2,0.82,3.39,Weekday,193.3,246.47,0,Low
1,13,35.48,6,0.89,3.9,Weekday,378.92,323.61,0,Low
1,7,28.52,5,0.82,3.4,Weekday,179.47,157.69,0,Low
1,13,32.76,8,0.9,8.92,Weekend,381.68,308.02,0,Low
3,7,22.86,5,0.55,3.41,Weekend,81.55,183.37,0,Low
6,6,26.78,4,0.81,4.9,Weekend,439.04,368.68,0,Low
5,16,35.54,9,0.38,3.73,Weekday,274.8,385.25,0,Low
2,14,26.48,6,0.67,5.07,Weekday,247.33,273.25,0,Low
2,13,23.94,0,0.99,3.63,Weekday,324.96,261.72,0,Low
3,19,27.36,11,0.23,7.68,Weekend,330.89,437.31,1,Medium
2,12,35.71,6,0.39,3.93,Weekday,109.42,250.35,0,Low
1,9,23.38,2,0.48,8.96,Weekday,390.31,315.31,0,Low
5,15,19.34,8,0.14,8.72,Weekend,174.17,359.75,0,Low
4,6,32.8,5,0.08,3.1,Weekend,457.23,442.4,1,Medium
2,19,35.65,8,0.83,9.27,Weekend,418.03,404.92,1,Medium
1,10,17.52,4,0.98,3.2,Weekday,205.82,149.28,0,Low
4,12,21.0,6,0.4,4.68,Weekday,413.48,392.0,0,Low
5,9,18.55,3,0.09,3.23,Weekday,210.38,331.52,0,Low
4,20,23.7,6,0.07,5.35,Weekend,95.43,312.77,0,Low
1,22,26.26,0,0.89,6.6,Weekend,482.85,351.2,0,Low
6,10,33.72,6,0.46,8.58,Weekend,343.67,369.16,0,Low
6,9,31.28,7,0.32,5.37,Weekend,255.24,366.49,0,Low
4,20,30.52,4,0.48,7.94,Weekday,229.0,327.75,0,Low
3,17,23.81,1,0.32,4.31,Weekday,196.12,285.68,0,Low
4,9,36.04,4,0.49,8.25,Weekday,491.65,420.87,1,Medium
2,17,26.78,5,0.86,4.65,Weekday,110.64,206.83,0,Low
2,21,39.48,11,0.59,4.0,Weekday,191.66,366.44,0,Low
6,22,30.85,1,0.69,4.3,Weekday,268.47,391.16,0,Low
3,12,18.16,5,0.36,4.27,Weekday,265.1,271.35,0,Low
1,17,31.9,5,0.74,6.59,Weekday,262.11,283.48,0,Low
2,23,23.13,0,0.67,8.91,Weekend,129.1,259.81,0,Low
6,7,32.16,0,0.12,3.56,Weekend,115.22,328.74,0,Low
5,12,16.74,10,0.57,7.95,Weekday,164.65,247.42,0,Low
6,6,19.37,9,0.26,7.58,Weekend,461.54,420.02,1,Medium
2,12,36.39,2,0.8,9.11,Weekday,100.87,153.61,0,Low
2,17,20.68,9,0.43,4.71,Weekday,390.84,352.72,0,Low
6,17,35.93,9,0.99,6.15,Weekend,390.9,450.27,1,Medium
1,5,21.98,11,0.09,9.48,Weekday,414.4,342.01,0,Low
4,10,31.07,2,0.78,7.62,Weekday,448.98,360.93,0,Low
2,23,32.35,3,0.67,5.72,Weekday,168.37,302.02,0,Low
6,20,27.82,1,0.77,3.92,Weekday,151.05,316.59,0,Low
6,12,22.63,8,0.31,4.84,Weekday,259.48,344.54,0,Low
3,5,20.32,9,0.49,7.07,Weekday,169.29,237.24,0,Low
4,20,15.83,11,0.8,8.03,Weekday,380.44,391.83,0,Low
5,13,22.6,10,0.23,3.87,Weekend,336.17,428.45,1,Medium
1,17,31.33,6,0.23,7.2,Weekend,443.74,410.45,1,Medium
5,15,38.46,6,0.55,6.85,Weekday,87.23,299.25,0,Low
4,17,36.78,5,0.52,6.6,Weekend,461.79,434.78,1,Medium
4,14,34.15,2,0.28,7.83,Weekday,182.01,340.79,0,Low
4,8,34.71,5,0.3,8.86,Weekday,270.81,329.56,0,Low
5,10,31.62,11,0.28,5.26,Weekday,247.38,367.14,0,Low
4,11,21.51,7,0.77,9.22,Weekday,392.14,328.92,0,Low
6,9,37.68,7,0.65,4.12,Weekend,239.15,396.62,0,Low
5,15,31.77,10,0.83,4.21,Weekend,474.6,451.24,1,Medium
4,17,29.01,8,0.98,4.87,Weekend,456.14,432.95,1,Medium
6,23,17.77,0,0.47,3.84,Weekend,442.47,462.07,1,Medium
3,14,26.18,0,0.07,4.61,Weekday,82.07,225.99,0,Low
4,14,26.51,2,0.05,3.74,Weekend,434.42,429.53,1,Medium
5,15,36.61,2,0.3,8.75,Weekday,401.74,451.12,1,Medium
2,11,28.67,9,0.93,3.97,Weekday,96.58,170.81,0,Low
4,22,24.51,7,0.52,8.23,Weekend,98.34,300.73,0,Low
2,8,39.42,9,0.27,3.34,Weekday,95.52,245.6,0,Low
6,6,17.77,0,0.4,9.64,Weekend,55.1,180.69,0,Low
3,18,25.56,1,0.6,7.98,Weekend,296.89,301.5,0,Low
1,17,16.05,1,0.65,3.05,Weekend,488.03,312.28,0,Low
3,16,33.5,2,0.15,8.35,Weekend,247.41,331.65,0,Low
4,11,37.95,5,0.98,6.6,Weekend,293.34,337.28,0,Low
2,6,22.0,0,0.54,8.46,Weekday,485.59,314.22,0,Low
2,17,36.46,1,0.14,6.66,Weekend,164.83,297.99,0,Low
5,18,22.31,0,0.89,7.49,Weekend,436.31,372.75,0,Low
2,21,37.77,4,0.07,8.5,Weekday,295.88,408.91,1,Medium
5,13,33.85,6,0.91,5.84,Weekend,306.26,360.1,0,Low
6,21,35.12,7,1.0,3.02,Weekend,204.43,350.84,0,Low
1,12,15.45,9,0.7,8.95,Weekday,302.71,247.32,0,Low
4,6,39.07,0,0.77,5.67,Weekday,82.91,220.03,0,Low
5,17,33.17,6,0.34,6.47,Weekend,394.09,455.16,1,Medium
1,7,22.62,4,0.94,3.05,Weekday,178.11,125.13,0,Low
2,20,35.73,9,0.53,6.44,Weekend,449.42,467.72,1,Medium
2,10,22.04,0,0.73,9.91,Weekday,215.53,220.83,0,Low
1,23,36.82,2,0.92,4.95,Weekend,114.27,193.75,0,Low
2,11,17.81,6,0.98,5.77,Weekend,363.15,221.99,0,Low
6,14,32.59,9,0.83,7.81,Weekend,124.06,302.79,0,Low
6,13,28.52,0,0.3,8.7,Weekday,389.16,433.06,1,Medium
1,6,17.41,6,0.97,5.92,Weekend,485.65,286.06,0,Low
5,19,21.05,4,0.63,5.17,Weekday,400.8,422.5,1,Medium
5,9,15.31,0,0.93,9.56,Weekend,60.1,127.3,0,Low
1,8,26.72,0,0.68,7.74,Weekend,319.95,253.12,0,Low
5,24,22.53,0,0.31,3.83,Weekend,362.93,424.43,1,Medium
5,8,29.96,10,0.37,3.48,Weekend,421.46,447.84,1,Medium
6,22,22.43,8,0.55,6.38,Weekend,75.2,287.58,0,Low
5,8,22.5,10,0.79,4.54,Weekday,266.05,300.68,0,Low
3,21,33.58,2,0.32,4.78,Weekday,290.92,357.98,0,Low
4,16,16.2,4,0.58,9.14,Weekday,126.11,207.34,0,Low
2,21,37.57,10,0.35,3.63,Weekend,195.1,394.45,0,Low
3,14,36.31,9,0.82,8.01,Weekend,248.1,280.49,0,Low
5,5,31.7,11,0.47,4.9,Weekday,424.94,425.24,1,Medium
6,22,29.83,8,0.08,8.32,Weekend,468.23,594.15,1,Medium
1,22,37.31,5,0.17,8.06,Weekend,332.79,455.75,1,Medium
5,18,19.63,11,0.06,3.05,Weekend,227.73,404.3,1,Medium
6,19,16.97,8,0.5,6.56,Weekday,164.31,334.75,0,Low
4,16,20.99,7,0.11,3.98,Weekday,491.96,486.74,1,Medium
5,8,34.86,7,0.11,9.06,Weekday,492.36,528.9,1,Medium
1,7,15.87,0,0.94,9.1,Weekday,466.24,250.36,0,Low
6,24,29.57,8,0.87,5.93,Weekday,403.55,463.98,1,Medium
6,16,39.89,5,0.45,6.11,Weekend,196.6,415.28,1,Medium
6,11,36.39,8,0.99,5.12,Weekend,417.65,416.75,1,Medium
4,15,28.04,2,0.0,8.02,Weekend,233.96,332.13,0,Low
5,5,16.59,11,0.61,5.51,Weekend,197.05,224.39,0,Low
4,10,35.78,2,0.62,4.87,Weekday,385.19,371.91,0,Low
2,19,29.97,5,0.46,6.03,Weekday,85.84,243.89,0,Low
2,19,17.87,8,0.4,3.64,Weekend,71.85,235.65,0,Low
5,23,17.35,6,0.46,8.23,Weekday,251.58,383.66,0,Low
4,15,37.74,2,0.41,3.09,Weekend,250.54,362.09,0,Low
1,6,31.73,2,0.73,7.51,Weekend,453.04,326.94,0,Low
6,18,35.73,1,0.14,4.28,Weekend,106.77,360.83,0,Low
6,6,36.97,8,0.2,4.63,Weekend,105.48,299.84,0,Low
5,8,29.29,2,0.18,7.45,Weekday,116.35,245.88,0,Low
2,21,27.94,10,0.26,9.95,Weekend,63.38,300.08,0,Low
2,7,25.76,4,0.53,8.44,Weekday,82.28,111.52,0,Low
6,17,22.92,8,0.11,4.58,Weekend,346.94,464.22,1,Medium
5,13,25.86,7,0.87,4.23,Weekend,244.21,365.32,0,Low
4,11,34.35,1,0.3,9.06,Weekend,393.62,418.04,1,Medium
2,19,30.05,2,0.16,6.11,Weekend,496.67,461.31,1,Medium
4,15,37.31,1,0.68,3.96,Weekday,346.57,342.53,0,Low
2,24,26.08,7,0.04,9.04,Weekend,72.71,330.94,0,Low
2,6,30.18,5,0.62,8.71,Weekday,97.05,191.34,0,Low
3,19,30.78,5,0.7,9.89,Weekend,446.45,434.26,1,Medium
2,18,29.79,11,0.21,9.37,Weekend,287.37,386.04,0,Low
1,24,32.57,8,0.04,8.96,Weekend,421.18,487.74,1,Medium
5,15,20.94,7,0.36,3.37,Weekday,435.48,444.59,1,Medium
5,7,27.81,3,0.1,3.73,Weekend,467.45,434.69,1,Medium
4,21,17.61,11,0.12,6.98,Weekend,477.42,527.67,1,Medium
2,16,24.61,3,0.25,6.72,Weekend,299.67,329.65,0,Low
1,19,27.19,8,0.3,6.21,Weekend,203.46,310.74,0,Low
4,20,31.31,0,0.53,5.78,Weekend,482.84,459.93,1,Medium
3,9,38.76,1,0.68,6.02,Weekday,296.33,314.68,0,Low
4,24,30.02,1,0.59,6.99,Weekday,78.91,274.23,0,Low
4,10,33.59,5,0.15,3.01,Weekend,339.25,403.54,1,Medium
2,23,27.66,3,0.17,4.82,Weekend,314.46,390.81,0,Low
3,9,30.85,10,0.88,6.63,Weekday,453.11,435.32,1,Medium
4,7,16.77,9,0.56,8.06,Weekend,343.93,333.32,0,Low
1,5,21.36,2,0.87,4.22,Weekday,207.07,185.34,0,Low
1,10,24.05,2,0.37,6.83,Weekend,484.8,355.39,0,Low
5,19,26.81,2,0.61,8.0,Weekend,410.73,421.61,1,Medium
3,6,16.14,5,0.52,6.11,Weekday,333.69,251.78,0,Low
3,7,18.5,7,0.32,3.19,Weekend,181.82,269.47,0,Low
5,21,21.92,10,0.47,6.14,Weekday,218.09,354.7,0,Low
4,16,39.29,6,0.5,5.08,Weekday,351.49,463.81,1,Medium
3,22,23.28,3,0.2,9.51,Weekday,82.39,252.71,0,Low
1,19,27.05,10,0.32,3.87,Weekend,165.51,304.64,0,Low
1,16,19.9,11,0.79,7.57,Weekday,371.26,278.51,0,Low
2,20,30.27,3,0.92,3.37,Weekday,266.01,274.98,0,Low
3,12,22.02,10,0.36,6.12,Weekend,231.08,306.04,0,Low
4,18,20.17,9,0.31,6.88,Weekend,118.16,282.64,0,Low
5,21,27.91,10,0.2,5.09,Weekend,248.83,429.76,1,Medium
5,12,15.14,10,0.68,6.19,Weekend,396.81,372.53,0,Low
4,19,15.19,10,0.32,4.14,Weekend,168.81,329.11,0,Low
6,18,20.48,1,0.99,5.13,Weekend,52.43,160.92,0,Low
2,22,15.92,0,0.33,7.35,Weekday,350.83,328.92,0,Low
5,24,17.7,8,0.39,5.11,Weekend,487.68,535.03,1,Medium
3,11,23.47,11,0.6,9.3,Weekday,323.07,342.19,0,Low
2,7,35.06,11,0.8,7.4,Weekend,103.96,221.59,0,Low
3,16,29.3,1,0.47,6.07,Weekday,194.33,297.24,0,Low
1,7,27.82,7,0.42,3.27,Weekday,440.44,323.01,0,Low
2,24,22.34,8,1.0,6.5,Weekend,154.66,249.57,0,Low
5,18,38.29,3,0.01,8.35,Weekend,323.46,479.6,1,Medium
2,19,24.93,7,0.9,4.86,Weekday,231.2,308.75,0,Low
2,18,17.18,8,0.15,8.65,Weekend,143.53,286.35,0,Low
2,11,30.43,9,0.79,4.76,Weekend,416.03,361.77,0,Low
6,21,17.85,9,0.62,8.77,Weekday,384.27,458.07,1,Medium
2,16,23.63,4,0.34,3.6,Weekday,347.72,356.13,0,Low
3,24,27.69,6,0.87,9.06,Weekday,156.35,287.08,0,Low
1,8,36.86,9,0.01,6.49,Weekend,94.04,247.27,0,Low
4,13,27.34,3,0.23,5.08,Weekend,309.27,381.36,0,Low
2,10,32.56,0,0.57,4.86,Weekend,299.16,299.23,0,Low
5,20,39.82,2,0.35,6.02,Weekend,134.77,381.05,0,Low
2,6,18.29,4,0.61,9.99,Weekday,75.31,136.31,0,Low
5,12,21.87,2,0.02,4.54,Weekend,86.32,304.93,0,Low
3,15,24.86,11,0.12,3.72,Weekday,496.75,512.41,1,Medium
5,17,25.55,10,0.13,7.1,Weekend,402.61,502.53,1,Medium
4,21,25.28,6,0.19,6.42,Weekend,464.89,475.41,1,Medium
1,12,37.69,11,0.46,6.67,Weekday,137.77,237.09,0,Low
5,22,32.85,8,0.75,7.67,Weekend,482.26,501.72,1,Medium
5,22,30.2,11,0.91,4.87,Weekend,114.19,311.63,0,Low
1,18,22.73,5,0.84,9.37,Weekday,279.09,281.7,0,Low
4,19,35.59,9,0.2,6.05,Weekend,423.36,453.86,1,Medium
2,10,38.88,0,0.44,3.9,Weekday,207.41,245.68,0,Low
5,15,35.53,6,0.2,8.2,Weekday,241.17,402.29,0,Medium
1,17,15.04,2,0.26,7.5,Weekday,107.68,166.02,0,Low
3,5,30.91,4,0.5,5.21,Weekday,105.31,180.42,0,Low
1,10,16.28,9,0.07,7.35,Weekend,328.81,302.26,0,Low
3,13,21.44,3,0.22,4.54,Weekend,353.99,337.4,0,Low
4,12,16.49,9,0.94,6.11,Weekend,399.8,315.92,0,Low
2,15,30.09,4,0.47,9.3,Weekday,300.51,351.79,0,Low
1,23,32.16,4,0.45,3.93,Weekend,340.59,385.06,0,Low
6,13,17.86,5,0.01,5.71,Weekend,56.08,300.9,0,Low
5,21,24.6,9,0.25,8.75,Weekend,122.98,350.61,0,Low
4,16,26.41,11,0.87,9.79,Weekend,493.21,463.06,1,Medium
1,18,24.23,9,0.16,6.18,Weekday,84.2,261.75,0,Low
5,19,18.03,10,0.42,6.55,Weekday,355.45,436.79,1,Medium
1,20,25.47,5,0.01,7.01,Weekend,129.24,266.95,0,Low
3,24,33.78,7,0.48,9.53,Weekday,372.52,438.76,1,Medium
1,5,16.78,7,0.02,9.01,Weekend,367.7,326.35,0,Low
6,14,17.0,10,0.82,4.19,Weekend,155.39,266.36,0,Low
1,12,23.87,8,0.82,6.06,Weekend,171.34,161.51,0,Low
1,22,38.54,7,0.79,6.25,Weekday,344.65,356.22,0,Low
6,5,31.71,10,0.28,8.52,Weekend,225.54,396.09,0,Low
4,6,31.97,1,0.84,7.22,Weekday,137.55,183.98,0,Low
1,5,24.05,11,0.54,7.58,Weekday,379.26,303.33,0,Low
6,5,29.84,9,0.37,9.99,Weekend,119.37,280.89,0,Low
5,13,15.25,11,0.63,3.52,Weekday,435.04,424.54,1,Medium
3,17,30.9,10,0.01,4.56,Weekday,281.6,428.24,1,Medium
3,5,37.83,0,0.14,5.86,Weekend,97.57,203.45,0,Low
1,17,30.31,9,0.74,5.43,Weekday,362.33,344.46,0,Low
4,24,36.84,1,0.24,3.15,Weekday,283.62,398.68,0,Low
4,11,33.1,1,0.6,3.64,Weekend,184.13,259.28,0,Low
5,6,18.01,11,0.39,7.77,Weekend,240.14,308.87,0,Low
1,10,37.56,2,0.85,9.16,Weekday,184.25,234.74,0,Low
3,11,16.66,9,0.95,6.6,Weekend,168.36,196.52,0,Low
4,18,28.35,6,0.88,6.77,Weekend,123.62,237.52,0,Low
1,22,18.55,1,0.27,4.79,Weekday,213.25,262.93,0,Low
4,19,15.29,0,0.19,8.38,Weekday,162.94,301.82,0,Low
6,6,25.55,5,0.47,8.26,Weekend,357.55,363.35,0,Low
4,14,22.38,8,0.01,7.12,Weekday,357.74,448.95,1,Medium
3,16,27.15,2,0.03,4.49,Weekend,275.83,353.9,0,Low
2,21,29.43,5,0.55,3.68,Weekend,400.08,380.02,0,Low
5,12,16.09,2,0.52,3.45,Weekday,428.6,368.75,0,Low
5,15,18.08,0,0.99,7.15,Weekday,310.89,253.36,0,Low
3,7,28.97,11,0.2,8.78,Weekend,328.52,326.72,0,Low
4,10,23.58,4,0.26,9.01,Weekend,177.3,277.74,0,Low
1,13,33.23,9,0.11,6.25,Weekend,452.69,434.69,1,Medium
4,10,31.31,10,0.92,8.49,Weekend,60.89,207.5,0,Low
3,13,36.14,3,0.78,9.63,Weekday,206.87,269.11,0,Low
5,11,32.31,6,0.82,4.93,Weekend,374.81,427.92,1,Medium
4,13,25.75,5,0.9,5.79,Weekday,86.04,198.64,0,Low
5,22,31.82,9,0.52,9.52,Weekday,132.43,328.15,0,Low
1,16,21.88,6,0.45,5.37,Weekend,315.18,279.83,0,Low
5,12,22.66,4,0.33,9.4,Weekday,302.0,361.99,0,Low
5,12,34.72,3,0.59,9.87,Weekday,382.52,399.71,0,Low
2,22,26.16,6,0.45,7.63,Weekend,415.68,390.75,0,Low
2,24,34.96,6,0.45,8.72,Weekday,107.86,296.63,0,Low
6,19,35.56,5,0.94,8.25,Weekday,58.27,275.93,0,Low
2,11,36.44,7,0.98,7.9,Weekend,360.34,346.4,0,Low
5,15,37.92,3,0.8,5.15,Weekend,185.63,295.25,0,Low
3,24,25.77,9,0.76,3.4,Weekend,331.69,374.8,0,Low
5,20,22.97,4,0.68,5.4,Weekend,117.75,307.64,0,Low
3,8,29.55,3,0.17,7.67,Weekend,261.07,320.76,0,Low
3,10,24.28,11,0.06,3.72,Weekend,276.99,340.9,0,Low
2,7,30.03,0,0.69,3.08,Weekend,313.29,238.44,0,Low
4,13,32.64,11,0.73,3.98,Weekday,280.93,330.1,0,Low
1,14,32.21,7,0.05,8.01,Weekday,273.06,347.71,0,Low
2,18,24.36,0,0.93,9.81,Weekend,199.73,230.57,0,Low
2,15,19.17,4,0.09,9.88,Weekday,82.03,253.14,0,Low
4,22,25.76,5,0.29,6.46,Weekday,90.28,273.69,0,Low
1,16,18.56,5,0.67,9.09,Weekend,245.2,248.66,0,Low
5,16,37.25,4,0.17,8.16,Weekday,210.11,399.09,0,Low
6,17,23.65,2,0.06,6.51,Weekend,282.26,413.84,1,Medium
6,17,18.86,4,0.33,7.01,Weekday,187.18,329.82,0,Low
5,23,15.64,11,0.77,3.96,Weekend,359.56,370.28,0,Low
2,23,31.15,7,0.41,9.56,Weekday,438.78,467.6,1,Medium
1,18,30.92,1,0.65,5.46,Weekday,184.49,207.63,0,Low
2,8,23.52,5,0.58,6.12,Weekday,136.84,166.02,0,Low
3,17,16.79,8,0.02,7.7,Weekend,102.28,284.87,0,Low
2,12,25.24,7,0.99,5.34,Weekday,327.31,232.04,0,Low
2,23,22.78,10,0.04,4.78,Weekday,249.74,357.79,0,Low
5,16,31.93,7,0.97,7.42,Weekend,134.61,298.47,0,Low
5,22,30.14,7,0.55,3.17,Weekend,343.91,447.82,1,Medium
5,10,24.11,6,0.96,8.05,Weekday,116.82,195.5,0,Low
6,22,20.45,7,0.11,6.6,Weekday,299.44,460.59,1,Medium
3,23,39.7,5,0.49,7.24,Weekday,287.22,422.1,1,Medium
5,9,26.35,1,0.17,7.42,Weekday,380.4,423.75,1,Medium
1,13,32.21,1,0.05,6.69,Weekend,74.8,195.78,0,Low
6,7,18.51,7,0.62,7.08,Weekday,449.54,380.8,0,Low
4,14,27.14,10,0.21,7.79,Weekday,366.35,445.76,1,Medium
1,23,15.69,0,0.59,8.27,Weekend,147.26,209.51,0,Low
1,7,27.64,5,0.11,8.09,Weekday,132.53,186.31,0,Low
5,19,39.1,5,0.33,9.09,Weekday,244.25,401.68,0,Medium
4,5,24.61,10,0.78,4.33,Weekday,417.9,345.91,0,Low
4,11,15.97,3,0.44,5.81,Weekend,429.33,366.05,0,Low
6,16,15.77,11,0.63,9.63,Weekend,284.21,371.45,0,Low
4,21,24.7,10,0.65,5.78,Weekday,437.36,425.59,1,Medium
3,24,19.0,10,0.84,3.87,Weekday,52.45,220.06,0,Low
5,9,15.58,9,0.32,6.68,Weekend,65.83,214.31,0,Low
4,8,33.91,2,0.69,3.77,Weekday,460.32,367.56,0,Low
6,16,26.46,10,0.96,4.42,Weekday,398.9,422.61,1,Medium
3,24,22.23,2,0.73,9.99,Weekend,252.82,305.84,0,Low
2,22,37.5,0,0.49,6.79,Weekend,389.12,424.09,1,Medium
2,21,17.9,2,0.63,4.99,Weekend,480.04,366.5,0,Low
3,23,38.9,3,0.74,9.96,Weekday,397.44,433.12,1,Medium
6,13,22.85,10,0.61,9.77,Weekday,429.07,415.71,1,Medium
3,8,37.21,10,0.02,6.09,Weekday,392.27,440.27,1,Medium
5,6,30.07,4,0.19,4.82,Weekday,125.69,289.33,0,Low
5,8,35.67,2,0.81,8.87,Weekend,425.11,397.53,0,Low
2,6,39.6,5,0.27,8.01,Weekday,137.8,261.8,0,Low
4,19,22.21,10,0.73,7.81,Weekday,451.68,450.56,1,Medium
6,6,39.03,11,0.37,9.25,Weekend,256.39,393.37,0,Low
2,8,24.74,4,0.52,7.83,Weekend,354.64,305.45,0,Low
4,10,24.64,2,0.07,4.99,Weekday,273.76,379.17,0,Low
4,11,23.51,5,0.18,7.86,Weekend,92.3,244.34,0,Low
5,14,28.54,5,0.96,5.14,Weekend,180.83,297.64,0,Low
1,23,18.85,7,0.89,8.31,Weekday,492.68,394.42,0,Low
1,23,28.84,1,0.65,7.34,Weekday,482.32,396.35,0,Low
3,16,28.54,0,0.46,3.54,Weekday,194.22,273.07,0,Low
5,7,34.05,3,0.68,6.59,Weekday,498.33,432.68,1,Medium
4,17,35.84,6,0.62,5.4,Weekend,430.5,466.17,1,Medium
6,22,26.01,10,0.57,5.3,Weekend,324.93,461.55,1,Medium
1,12,22.56,9,0.06,7.22,Weekday,68.06,202.21,0,Low
4,19,21.48,2,0.63,5.26,Weekday,455.65,370.62,0,Low
1,5,19.87,2,0.77,8.44,Weekend,300.84,199.47,0,Low
1,7,16.44,4,0.99,3.5,Weekday,440.81,203.08,0,Low
1,12,23.56,4,0.01,7.62,Weekday,425.49,351.11,0,Low
6,8,21.76,9,0.73,8.66,Weekday,424.85,392.66,0,Low
5,20,39.16,2,0.57,7.71,Weekday,364.18,426.29,1,Medium
6,14,28.94,8,0.43,6.48,Weekend,181.14,362.74,0,Low
2,16,23.68,3,0.13,9.65,Weekday,201.27,284.75,0,Low
4,18,29.51,2,0.41,5.1,Weekend,188.81,335.64,0,Low
5,18,18.48,10,0.35,3.13,Weekday,59.02,247.8,0,Low
5,6,26.1,1,0.3,6.02,Weekday,312.16,325.14,0,Low
5,9,30.66,9,0.73,3.23,Weekend,364.48,382.3,0,Low
5,9,27.22,10,0.7,9.68,Weekday,434.24,414.63,1,Medium
6,10,25.04,8,0.59,4.47,Weekend,113.07,288.54,0,Low
5,17,39.85,3,0.94,8.52,Weekday,294.88,351.7,0,Low
3,13,37.01,2,0.35,8.42,Weekday,53.6,226.47,0,Low
4,19,30.59,6,0.24,4.52,Weekday,92.79,323.31,0,Low
5,18,29.23,7,0.66,7.35,Weekday,74.4,232.92,0,Low
4,11,30.52,10,0.2,3.34,Weekday,376.47,442.49,1,Medium
3,24,20.03,1,0.32,6.39,Weekend,86.48,270.61,0,Low
3,6,24.88,6,0.22,3.1,Weekend,372.4,326.17,0,Low
4,11,15.99,11,0.07,9.45,Weekday,162.33,294.83,0,Low
1,10,26.89,4,0.83,9.83,Weekday,444.97,336.01,0,Low
2,21,28.58,10,0.25,4.56,Weekend,415.92,466.9,1,Medium
1,6,20.69,4,0.47,4.46,Weekend,481.02,330.52,0,Low
1,7,39.1,2,0.04,8.28,Weekday,447.69,419.96,1,Medium
6,9,37.74,4,0.7,4.77,Weekday,470.0,495.31,1,Medium
1,9,33.05,11,0.33,9.27,Weekend,436.43,393.74,0,Low
5,5,28.33,1,0.74,7.02,Weekday,362.02,312.86,0,Low
6,12,36.75,3,0.41,5.46,Weekend,126.62,344.33,0,Low
6,16,18.27,5,0.2,8.83,Weekday,172.27,337.2,0,Low
3,8,34.76,0,0.51,6.45,Weekend,145.73,207.58,0,Low
1,17,18.12,9,0.13,9.38,Weekend,321.61,332.36,0,Low
3,19,34.86,3,0.44,9.5,Weekday,276.63,372.14,0,Low
4,15,21.89,5,0.32,4.16,Weekend,440.19,419.77,1,Medium
2,14,36.93,8,0.91,3.02,Weekday,478.7,393.64,0,Low
6,7,38.6,10,0.06,9.89,Weekday,232.19,400.35,0,Medium
4,18,18.72,10,0.69,9.34,Weekday,277.86,364.8,0,Low
4,20,26.57,1,0.18,3.39,Weekday,487.18,482.45,1,Medium
5,14,39.52,10,0.32,8.83,Weekend,174.31,369.48,0,Low
2,14,27.09,6,0.42,6.2,Weekday,406.58,364.46,0,Low
4,16,36.59,5,0.91,4.81,Weekday,151.36,290.5,0,Low
4,13,29.72,1,0.24,9.15,Weekday,356.66,403.95,1,Medium
2,5,24.38,7,0.09,4.38,Weekday,164.13,229.17,0,Low
2,9,22.14,6,0.32,9.63,Weekend,447.68,367.91,0,Low
4,24,20.08,10,0.1,4.44,Weekday,302.67,447.11,1,Medium
2,12,34.04,4,0.13,7.3,Weekend,133.67,257.87,0,Low
4,15,24.66,11,0.57,4.56,Weekend,150.97,260.65,0,Low
4,16,27.78,4,0.06,6.82,Weekend,272.23,399.76,0,Low
5,5,27.31,6,0.03,7.79,Weekday,482.72,456.32,1,Medium
1,24,29.43,8,0.71,4.33,Weekday,396.34,396.27,0,Low
4,15,36.64,10,0.36,6.65,Weekday,269.74,410.21,1,Medium
3,9,39.52,8,0.13,6.28,Weekday,201.97,344.66,0,Low
6,19,25.19,8,0.25,3.5,Weekend,297.17,437.63,1,Medium
1,9,35.69,5,0.64,8.73,Weekend,386.76,308.77,0,Low
1,16,34.11,9,0.28,5.35,Weekday,402.77,388.95,0,Low
1,9,29.34,5,0.49,7.02,Weekday,196.07,209.76,0,Low
5,21,38.9,2,0.12,6.6,Weekday,374.52,516.34,1,Medium
4,21,20.01,0,0.59,6.59,Weekday,346.0,386.99,0,Low
5,16,17.73,6,0.32,3.75,Weekday,481.6,491.01,1,Medium
4,19,36.35,3,0.63,5.96,Weekday,468.99,470.45,1,Medium
5,19,25.98,0,0.81,6.17,Weekday,405.22,422.5,1,Medium
5,10,36.17,7,0.61,8.14,Weekend,375.53,407.14,1,Medium
6,16,37.33,11,0.3,8.88,Weekend,173.32,386.83,0,Low
3,24,16.56,5,0.26,6.81,Weekend,430.68,477.44,1,Medium
5,22,37.09,5,0.33,3.61,Weekend,242.38,440.12,1,Medium
6,18,26.21,1,0.16,4.66,Weekday,172.51,332.19,0,Low
2,6,27.76,0,0.18,4.15,Weekday,222.87,277.9,0,Low
3,13,30.66,1,0.79,3.87,Weekday,426.17,340.2,0,Low
5,9,38.16,3,0.38,5.56,Weekday,116.88,281.4,0,Low
